mat_cod,cod_mat,mat_dsc,mat_ppu,grs_wgt,net_wgt,wgt_uom,mat_vol,vol_uom,mat_len,mat_wid,mat_hgt,mat_uom
5ACEFFF2D6111EDBAF913CB3E677CCF1,F000KV13977H1,Fuel Rail,278.64,0.665,0.665,KG,4.94,L,380,130,100,MM
5ACEFFF2D6111EDBAF913CB45FF50D1E,F000KV14263P8,glow plug,48.44,0.032,0.032,KG,0.131,L,50.8,50.8,50.8,MM
5ACEFFF2D6111EDBAF96229E311BCCC4,F000KV1429741,Clip Fastener,0.42,0.002,0.002,KG,0.1,L,100,100,10,MM
5ACEFFF2D6111EDBAF913CB79AA80D69,F000KV14563V2,Fuel Rail,21.08,0.355,0.355,KG,3.744,L,390,120,80,MM
5ACEFFF2D6111EDBAF9057BCE45BCD3C,F000KV14617H1,Fuel Rail,155.83,0.51,0.51,KG,3.75,L,155.36,155.36,155.36,MM
5ACEFFF2D6111EDBAF913CB910518D14,F000KV14863FP,Fuel Rail,14.63,0.325,0.325,KG,4.563,L,390,130,90,MM
5ACEFFF2D6111EDBAF9057BE11714CC2,F000KV14907H1,Pickup Clip,0.29,0.04,0.04,KG,0.009,L,30,30,10,MM
5ACEFFF2D6111EDBAF9057BE3FF74D67,F000KV15037H1,glow plug,48.52,0.045,0.045,KG,0.805,L,93.02,93.02,93.02,MM
5ACEFFF2D6111EDBAF913CBF24F6CD51,F000KV15063FP,Fuel Rail,13.07,0.385,0.385,KG,11.352,L,420,211,120,MM
5ACEFFF2D6111EDBAF913CC017E4CD1B,F000KV15313FP,glow plug,11.8,0.02,0.02,KG,0.168,L,60,40,70,MM
5ACEFFF2D6111EDDB3F9E787D95713C5,F000KV15323V2,glow plug,14.44,0.041,0.032,KG,0.157,L,56,39,72,MM
5ACEFFF2D6111EDCA7DD057D5374D499,F000KV15664ZX,Fuel Rail,19.87,0.245,0.15,KG,3.725,L,385,118,82,MM
5ACEFFF2D6111EDBAF913CDB00984D0E,F000LD1429742,Pulley,167.53,1.005,1.005,KG,0.768,L,91.57,91.57,91.57,MM
5ACEFFF2D6111EDBAF913CE1438F0D67,F000LD1439742,groove ball bearing,29.09,0.275,0.275,KG,0.197,L,75,75,35,MM
5ACEFFF2D6111EDBAF913CF6B87BCD02,F000LD2366742,Rectifier,58.67,0.175,0.175,KG,0.775,L,91.86,91.86,91.86,MM
5ACEFFF2D6111EDBAF913CFB08538D26,F000LD2541742,Rectifier,66.39,0.176,0.176,KG,0.775,L,91.86,91.86,91.86,MM
5ACEFFF2D6111EDBAF913D01BCE60D59,F000LD9481741,CARBON-BRUSH SET,1.05,0.004,0.004,KG,0.065,L,40.16,40.16,40.16,MM
5ACEFFF2D6111EDBAF913D03A383CD5D,F000LD9482741,CARBON-BRUSH SET,1.54,0.005,0.005,KG,0.123,L,49.71,49.71,49.71,MM
5ACEFFF2D6111EDBAF913D086ACA8D02,F000LD9485741,CARBON-BRUSH SET,1.39,0.005,0.005,KG,0.28,L,140,100,20,MM
5ACEFFF2D6111EEC94D5415345C99EE6,F000LD9598741,CARBON-BRUSH SET,0.91,0.001,0.001,KG,0.018,L,60,30,10,MM
5ACEFFF2D6111EDBAF91622278314D01,F000RS0102742,EL Field  Regulator,82.88,0.08,0.08,KG,0.618,L,95,50,130,MM
5ACEFFF2D6111EDBAF913D1932810D58,F000RS0103742,EL Field  Regulator,74.34,0.078,0.078,KG,0.644,L,90,55,130,MM
5ACEFFF2D6111EDBAF9057D147284D2F,F000SM10594F4,HOSE,22.74,0.047,0.047,KG,0.72,L,200,180,20,MM
5ACEFFF2D6111EDBAF913D2F5B6C8D4B,F000SM11254F4,Intake manifold module,83.68,2.36,2.36,KG,28.188,L,270,360,290,MM
5ACEFFF2D6111EDBAF913D2FAB290CD7,F000SM11344F4,Parts Set,2.31,0.003,0.003,KG,0.025,L,50,50,10,MM
5ACEFFF2D6111EDBAF9057DCED548D4B,F000SM11354F4,Seal,1.67,0.007,0.007,KG,0.155,L,130,170,7,MM
5ACEFFF2D6111EDBAF9057DEC9B14D41,F000SM1149741,O-Ring,0.17,0.001,0.001,KG,0.18,L,60,60,50,MM
5ACEFFF2D6111EDBAF913D351A438D28,F000SM1161741,Clip,0.32,0.003,0.003,KG,0.024,L,100,120,2,MM
5ACEFFF2D6111EDBAF913D3803244D51,F000TE0002FP2,FUEL PUMP MOUNTING UNIT,105.98,0.92,0.92,KG,11.22,L,300,220,170,MM
5ACEFFF2D6111EDBAF913D3B089E4D24,F000TE00113V2,FUEL PUMP MOUNTING UNIT,109.02,0.89,0.89,KG,9.568,L,292,217,151,MM
5ACEFFF2D6111EDBAF913D3EC20E4D0E,F000TE0046FP2,FUEL PUMP MOUNTING UNIT,135.95,0.9,0.9,KG,9.57,L,290,220,150,MM
5ACEFFF2D6111EDBAF913D3EBA5ECCDA,F000TE00473V2,FUEL PUMP MOUNTING UNIT,130.53,0.855,0.855,KG,9.191,L,285,215,150,MM
5ACEFFF2D6111EDBAF913D40459FCD59,F000TE00663FP,FUEL PUMP MOUNTING UNIT,139.24,0.9,0.9,KG,9.664,L,290,215,155,MM
5ACEFFF2D6111EDBAF913D439AC4CD63,F000TE00714T3,FUEL PUMP MOUNTING UNIT,154.85,1.03,1.03,KG,12.096,L,280,240,180,MM
5ACEFFF2D6111EDBAF913D48FAB10CD0,F000TE0076FP2,ELECTRIC FUEL PUMP,152.47,0.98,0.98,KG,11.04,L,230,300,160,MM
5ACEFFF2D6111EDBAF913D48E2CF4CC9,F000TE00773V2,ELECTRIC FUEL PUMP,154.37,0.97,0.97,KG,10.208,L,290,220,160,MM
5ACEFFF2D6111EDBAF913D4BCF764D0E,F000TE00804F4,FUEL PUMP MOUNTING UNIT,137.23,0.935,0.935,KG,10.56,L,300,220,160,MM
5ACEFFF2D6111EDBAF913D4D914A8CDA,F000TE0081FP2,FUEL PUMP MOUNTING UNIT,157.45,1.09,1.09,KG,16.926,L,260,310,210,MM
5ACEFFF2D6111EDBAF913D4EC4D20D67,F000TE0085FP2,FUEL PUMP MOUNTING UNIT,153.9,1.06,1.06,KG,18.414,L,310,270,220,MM
5ACEFFF2D6111EDBAF913D4F1D86CD24,F000TE00864F4,FUEL PUMP MOUNTING UNIT,150.43,0.91,0.91,KG,12.24,L,300,240,170,MM
5ACEFFF2D6111EDBAF913D4FD7550D69,F000TE0087FP2,FUEL PUMP MOUNTING UNIT,143.3,1.07,1.07,KG,16.926,L,310,260,210,MM
5ACEFFF2D6111EDBAF913D4F11904D02,F000TE0089FP2,FUEL PUMP MOUNTING UNIT,143.82,1.06,1.06,KG,16.38,L,300,260,210,MM
5ACEFFF2D6111EDBAF913D5442F68D51,F000TE00904F4,FUEL PUMP MOUNTING UNIT,146.98,0.915,0.915,KG,9.57,L,290,220,150,MM
