bin_num,bin_typ,bin_sec,bin_asl
PR.12.065.2.04,SA01,A,12
PP.03.120.08,PA01,C,03
PP.10.019.04,PA01,A,10
PP.01.077.04,PA02,D,01
PP.04.086.03,PA01,C,04
PK.22.012.01,PO02,A,22
PK.16.015.02,PO02,C,16
PK.23.052.01,PO02,A,23
PP.31.025.2.13,PM04,0001,31
PR.11.009.2.02,SA01,C,11
PK.10.008.01,PO02,A,10
PK.10.010.01,PO02,A,10
PP.31.011.2.15,PM04,0001,31
PP.31.125.2.02,PM04,0001,31
PK.10.012.01,PO02,A,10
PP.31.125.2.06,PM04,0001,31
PK.10.019.01,PO02,A,10
PP.08.085.03,PA01,A,08
PP.16.011.04,PA01,A,16
PP.16.011.07,PA01,A,16
PP.14.020.07,PA01,A,14
PP.27.099.05,PA01,B,27
PP.27.107.08,PA01,B,27
PK.12.077.01,PO02,A,12
PR.07.072.1.07,SA01,C,07
PR.11.025.2.04,SA01,C,11
PP.30.127.08,PA01,D,30
PP.11.024.04,PA01,A,11
PP.12.009.05,PA01,A,12
PP.12.011.03,PA01,A,12
PP.25.096.07,PA05,B,25
PP.25.098.06,PA01,B,25
PP.09.028.03,PA01,A,09
PR.08.024.2.04,SA01,C,08
PP.23.059.03,PA01,A,23
PR.05.115.1.06,SA01,C,05
PP.23.062.07,PA01,A,23
PR.05.048.1.05,SA01,C,05
PR.05.048.1.07,SA01,C,05
PR.07.073.2.03,SA01,C,07
PR.05.049.1.01,SA01,C,05
PP.31.110.03,PM04,0001,31
PP.31.104.2.02,PM04,0001,31
PR.05.054.1.04,SA01,C,05
PP.31.104.2.03,PM04,0001,31
PR.05.054.1.05,SA01,C,05
PP.31.104.2.04,PM04,0001,31
PR.05.055.1.01,SA01,C,05
PR.12.008.1.02,SA01,C,12
PP.31.104.2.05,PM04,0001,31
PP.31.104.2.06,PM04,0001,31
PP.08.051.04,PA01,A,08
PR.29.108.1.07,SA01,D,29
PR.29.108.1.08,SA01,D,29
PR.29.109.1.10,SA01,D,29
PR.29.109.1.11,SA01,D,29
PR.29.109.1.12,SA01,D,29
PP.09.028.04,PA01,A,09
PK.08.030.02,PO02,C,08
PP.22.114.03,PA01,A,22
PP.22.114.04,PA01,A,22
PP.22.119.06,PA01,A,22
PP.03.083.05,PA01,C,03
PP.22.119.07,PA01,A,22
PP.21.075.06,PA01,A,21
PK.24.051.01,PO02,A,24
PP.21.047.04,PA01,A,21
PR.05.086.2.04,SA01,C,05
PR.06.030.1.03,SA01,C,06
PP.07.054.06,PA01,C,07
PP.04.124.03,PA01,C,04
PR.05.066.1.03,SA01,C,05
PK.08.077.02,PO02,C,08
PR.09.021.1.01,SA01,C,09
PP.31.035.2.14,PM04,0001,31
PP.22.087.06,PA01,A,22
PR.24.118.2.02,SA01,B,24
PR.31.073.1.11,PM04,0001,31
PR.31.073.1.12,PM04,0001,31
PR.31.073.1.13,PM04,0001,31
PR.31.073.1.14,PM04,0001,31
PR.22.102.2.02,SA01,A,22
PR.15.028.2.02,SA01,C,15
PR.28.015.1.05,SA01,D,28
PR.28.015.1.08,SA01,D,28
PP.09.076.05,PA01,A,09
PP.19.074.04,PA01,A,19
PR.07.126.2.03,SA01,C,07
PP.19.074.06,PA01,A,19
PR.07.126.2.01,SA01,C,07
PR.07.127.1.01,SA01,C,07
PP.02.007.05,PA03,A,02
PP.02.007.06,PA03,A,02
PP.02.007.07,PA03,A,02
PP.02.009.03,PA03,A,02
PP.02.009.04,PA03,A,02
PP.28.060.09,PA01,D,28
PP.09.010.04,PA01,A,09
PR.30.053.2.02,SA01,D,30
PR.30.050.2.03,SA01,D,30
PR.30.051.2.04,SA01,D,30
PR.30.051.2.05,SA01,D,30
PR.30.054.2.01,SA01,D,30
PR.16.062.2.01,SA01,A,16
PR.06.107.1.07,SA01,C,06
PR.06.107.2.01,SA01,C,06
PR.06.107.2.02,SA01,C,06
PK.04.077.02,PO02,C,04
PR.19.067.2.02,SA01,A,19
PK.04.101.02,PO02,C,04
PR.19.072.2.01,SA01,A,19
PP.30.122.09,PA01,D,30
PP.03.028.05,PA01,C,03
PP.03.088.08,PA01,C,03
PP.11.028.07,PA01,A,11
PK.11.049.01,PO02,A,11
PK.12.032.01,PO02,A,12
PP.09.067.05,PA01,A,09
PK.24.109.02,PO02,B,24
PR.06.099.1.06,SA01,C,06
PR.25.090.2.01,SA01,B,25
PP.04.009.04,PA01,C,04
PP.25.019.06,PA01,B,25
PP.07.078.03,PA01,C,07
PK.22.029.02,PO02,B,22
